order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
46,4,14,2,1,2,ambiguous,glasses,envelopes,4,4,2,,6,below,The glasses below the envelopes are on number 4.,E14_2_1.jpg,E14_2_2.jpg,Y
47,1,X37,9,,,,,,,3,,,1,,On number 3 there is a post-it.,X37_9_1.jpg,X37_9_2.jpg,N
47,2,X37,9,,,,,,,3,,,1,,On number 3 there is a post-it.,X37_9_1.jpg,X37_9_2.jpg,N
47,3,X37,9,,,,,,,3,,,1,,On number 3 there is a post-it.,X37_9_1.jpg,X37_9_2.jpg,N
47,4,X37,9,,,,,,,3,,,1,,On number 3 there is a post-it.,X37_9_1.jpg,X37_9_2.jpg,N
48,1,X38,9,,,,,,,1,3,5,4,below,"The panda is on number 5, on the row below the sponge and the koala.",X38_9_1.jpg,X38_9_2.jpg,N
48,2,X38,9,,,,,,,1,3,5,4,below,"The panda is on number 5, on the row below the sponge and the koala.",X38_9_1.jpg,X38_9_2.jpg,N
48,3,X38,9,,,,,,,1,3,5,4,below,"The panda is on number 5, on the row below the sponge and the koala.",X38_9_1.jpg,X38_9_2.jpg,N
48,4,X38,9,,,,,,,1,3,5,4,below,"The panda is on number 5, on the row below the sponge and the koala.",X38_9_1.jpg,X38_9_2.jpg,N
49,1,15,4,2,2,ambiguous,bagpipes,chairs,10,2,1,,5,next to,The bagpipes next to the chairs are on number 2.,E15_4_1.jpg,E15_4_2.jpg,Y
49,2,15,1,1,1,unambiguous,bagpipes,chair,10,2,1,,5,next to,The bagpipes next to the chair are on number 2.,E15_1_1.jpg,E15_1_2.jpg,Y
49,3,15,2,1,2,ambiguous,bagpipes,chairs,10,2,1,,5,next to,The bagpipes next to the chairs are on number 2.,E15_2_1.jpg,E15_2_2.jpg,Y
49,4,15,3,2,1,unambiguous,bagpipes,chair,10,2,1,,5,next to,The bagpipes next to the chair are on number 2.,E15_3_1.jpg,E15_3_2.jpg,Y
